root@comp3134-lab:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:08:53.469306 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 14688:14892, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 204
20:08:53.469333 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 14892:14928, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
20:08:53.469368 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 14928:15132, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 204
20:08:53.469395 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 15132:15168, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
20:08:53.469431 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 15168:15372, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 204
20:08:53.469458 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 15372:15408, ack 1, win 501, options [nop,nop,TS val 1052718102 ecr 3412766639], length 36
20:08:53.469493 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 15408:15612, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 204
20:08:53.469523 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 15612:15648, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 36
20:08:53.469560 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 15648:15852, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 204
20:08:53.469590 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 15852:15888, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 36
20:08:53.469624 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 15888:16092, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 204
20:08:53.469650 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 16092:16128, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 36
20:08:53.469687 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 16128:16332, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 204
20:08:53.469714 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 16332:16368, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 36
20:08:53.469750 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 16368:16572, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 204
20:08:53.469777 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 16572:16608, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 36
20:08:53.469812 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 16608:16812, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 204
20:08:53.469838 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 16812:16848, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 36
20:08:53.469874 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 16848:17052, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 204
20:08:53.469900 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 17052:17088, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 36
20:08:53.469936 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 17088:17292, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 204
20:08:53.469964 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 17292:17328, ack 1, win 501, options [nop,nop,TS val 1052718103 ecr 3412766639], length 36
